timestamp,marketplace,title,url,final_url,currency,price,price_pln,score,deal,verified,verification_reason
2026-09-02T06:28:13.430111,Search,LEGO Ninjago Lloyd DX Minifigure (njo0108) - Mint / Ultra Rare 201,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.facebook.com%2Fmarketplace%2Fitem%2F1053913820443986%2F&rut=8c73edceab243bd5e92e570f362a1589b784e2c533d8ef462a358b9e3a0e4048,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.facebook.com%2Fmarketplace%2Fitem%2F1053913820443986%2F&rut=8c73edceab243bd5e92e570f362a1589b784e2c533d8ef462a358b9e3a0e4048,,,,105,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,Minifigure Gift Set {Target Exclusive 2014 Edition} : Set 5004076-1 ...,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.bricklink.com%2Fv2%2Fcatalog%2Fcatalogitem.page%3FS%3D5004076%2D1&rut=0797436fea6c6d63a52223681ff14271ed95c4c27d2ef02024315ed00b12ca55,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.bricklink.com%2Fv2%2Fcatalog%2Fcatalogitem.page%3FS%3D5004076-1&rut=0797436fea6c6d63a52223681ff14271ed95c4c27d2ef02024315ed00b12ca55,,,,65,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,5004076 LEGO 2014 Target Minifigure Gift Set - BrickEconomy,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.brickeconomy.com%2Fset%2F5004076%2D1%2Flego%2D2014%2Dtarget%2Dminifigure%2Dgift%2Dset&rut=0a6086c77f8518aeab21bfbe691bd6a9b53f356e061b7926c776b759d2d8be27,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.brickeconomy.com%2Fset%2F5004076-1%2Flego-2014-target-minifigure-gift-set&rut=0a6086c77f8518aeab21bfbe691bd6a9b53f356e061b7926c776b759d2d8be27,USD,15.0,54.75,50,GREAT DEAL,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,Minifigure Gift Set {Target Exclusive 2014 Edition},https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.bricklink.com%2Fv2%2Fcatalog%2Fcatalogitem.page%3FO%3D5004076%2D1&rut=3796312fac463fe78237d4d62b4d0ed690a25f045735db02ebf0f5e401516e04,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.bricklink.com%2Fv2%2Fcatalog%2Fcatalogitem.page%3FO%3D5004076-1&rut=3796312fac463fe78237d4d62b4d0ed690a25f045735db02ebf0f5e401516e04,,,,20,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,LEGO minifigures In 5004076-1: 2014 Target Minifigure Gift Set,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fbrickset.com%2Fminifigs%2Fin%2D5004076%2D1&rut=cfa3cc9b79b88ed67aedf58e752bd153e13a5c792158bce32419cb78981569e5,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fbrickset.com%2Fminifigs%2Fin-5004076-1&rut=cfa3cc9b79b88ed67aedf58e752bd153e13a5c792158bce32419cb78981569e5,,,,50,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,Lego 5004076 - eBay,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ebay.com%2Fshop%2Flego%2D5004076%3F_nkw%3Dlego%2B5004076&rut=7756ae6a205a6a3b4127ce73f0c1dc018a7081871aa5aa8fbda1e789b869e325,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ebay.com%2Fshop%2Flego-5004076%3F_nkw%3Dlego%2B5004076&rut=7756ae6a205a6a3b4127ce73f0c1dc018a7081871aa5aa8fbda1e789b869e325,,,,45,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,Lego 5004076 for sale - eBay,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_nkw%3Dlego%2B5004076%26_sop%3D12&rut=6819e97abcd4c5e193b97c99c12b8eebcdaba58a3b95126eedd5bb353f76d61d,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_nkw%3Dlego%2B5004076%26_sop%3D12&rut=6819e97abcd4c5e193b97c99c12b8eebcdaba58a3b95126eedd5bb353f76d61d,,,,45,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,LEGO 5004076 2014 Target Minifigure Gift Set | Brickset,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fbrickset.com%2Fsets%2F5004076%2D1%2F2014%2DTarget%2DMinifigure%2DGift%2DSet&rut=69b82fda5f5a3a8873786aa2fc1b66befa6213ae47c2631f064d717a3cfe26be,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fbrickset.com%2Fsets%2F5004076-1%2F2014-Target-Minifigure-Gift-Set&rut=69b82fda5f5a3a8873786aa2fc1b66befa6213ae47c2631f064d717a3cfe26be,,,,50,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,LEGO SET 5004076-1 - Minifigure Gift Set (Target Exclusive),https://duckduckgo.com/l/?uddg=https%3A%2F%2Frebrickable.com%2Fsets%2F5004076%2D1%2Fminifigure%2Dgift%2Dset%2Dtarget%2Dexclusive%2F&rut=81e38078c68ec6c2a3edf252260082a4d95491a03951b8b3c366527668790dac,https://duckduckgo.com/l/?uddg=https%3A%2F%2Frebrickable.com%2Fsets%2F5004076-1%2Fminifigure-gift-set-target-exclusive%2F&rut=81e38078c68ec6c2a3edf252260082a4d95491a03951b8b3c366527668790dac,,,,65,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,LEGO Minifigures Gift Set • Set 5004076 • SetDB,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.merlinsbricks.com%2Fsets%2Flego%2D5004076%2F&rut=88691b900cdc0fd2a0bd811d073039c09fb8cedc25d48ddfd683d2620b00b71d,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.merlinsbricks.com%2Fsets%2Flego-5004076%2F&rut=88691b900cdc0fd2a0bd811d073039c09fb8cedc25d48ddfd683d2620b00b71d,,,,45,NO PRICE,False,Not enough listing signals
2026-09-02T06:28:13.430111,Search,"5004076 Minifigure Gift Set - Brickipedia, the LEGO Wiki",https://duckduckgo.com/l/?uddg=https%3A%2F%2Fen.brickimedia.org%2Fwiki%2F5004076_Minifigure_Gift_Set&rut=1556f719b111930b1f41359d0f55e45a9a46459f0dd1dfe32c962a9d156ce427,https://duckduckgo.com/l/?uddg=https%3A%2F%2Fen.brickimedia.org%2Fwiki%2F5004076_Minifigure_Gift_Set&rut=1556f719b111930b1f41359d0f55e45a9a46459f0dd1dfe32c962a9d156ce427,,,,45,NO PRICE,False,Not enough listing signals
